object,n_stable,n_eff,pmax,isotropy,tv_long,tv_mid,tv_short,tv_max,long_mm,degenerate
HP_1800_Tablet_8GB_7,2,2.0,0.5,0.09,0.0,0.0,0.02,0.02,205.9,False
HP_Card_Invitation_Kit,4,2.5,0.45,0.18,0.06,0.04,0.07,0.07,207.3,False
Hasbro_Cranium_Performance_and_Acting_Game,6,3.0,0.4,0.22,0.04,0.07,0.05,0.07,296.2,False
Hasbro_Dont_Wake_Daddy_Board_Game,6,3.7,0.42,0.27,0.13,0.13,0.08,0.13,500.8,False
Hasbro_Life_Board_Game,5,2.6,0.44,0.21,0.08,0.07,0.11,0.11,437.9,False
Hasbro_Monopoly_Hotels_Game,5,2.9,0.43,0.27,0.27,0.55,0.14,0.55,348.4,False
Hasbro_Trivial_Pursuit_Family_Edition_Game,6,3.1,0.4,0.24,0.04,0.05,0.07,0.07,275.0,False
HeavyDuty_Flashlight,13,11.0,0.13,0.35,0.41,0.83,0.42,0.83,244.4,True
Hefty_Waste_Basket_Decorative_Bronze_85_liter,11,7.7,0.2,0.66,0.16,0.87,0.6,0.87,313.3,False
Hey_You_Pikachu_Nintendo_64,4,2.3,0.49,0.24,0.07,0.08,0.14,0.14,128.1,False
House_of_Cards_The_Complete_First_Season_4_Discs_DVD,2,2.0,0.52,0.12,0.03,0.0,0.04,0.04,220.8,False
Hyaluronic_Acid,18,14.6,0.13,0.55,0.66,0.77,0.86,0.86,107.0,True
HyperX_Cloud_II_Headset_Gun_Metal,5,3.6,0.35,0.35,0.12,0.12,0.11,0.12,368.6,False
HyperX_Cloud_II_Headset_Red,6,3.6,0.36,0.5,0.24,0.31,0.26,0.31,388.2,False
INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count,7,4.6,0.31,0.43,0.19,0.13,0.29,0.29,356.9,False
Inositol,19,16.2,0.09,0.54,0.34,0.77,0.86,0.86,120.1,True
IsoRich_Soy,16,12.7,0.16,0.73,0.46,0.8,0.85,0.85,181.1,True
JBL_Charge_Speaker_portable_wireless_wired_Green,15,11.4,0.13,0.43,0.25,0.72,0.93,0.93,183.7,True
JarroDophilusFOS_Value_Size,15,13.4,0.1,0.52,0.52,0.88,0.77,0.88,138.0,True
JarroSil_Activated_Silicon,7,4.8,0.27,0.54,0.08,0.17,0.4,0.4,119.6,False
JarroSil_Activated_Silicon_5exdZHIeLAp,8,5.5,0.26,0.68,0.31,0.53,0.33,0.53,107.8,False
Jarrow_Formulas_Glucosamine_Hci_Mega_1000_100_ct,16,12.2,0.15,0.57,0.49,0.9,0.65,0.9,115.6,True
Jarrow_Glucosamine_Chondroitin_Combination_120_Caps,19,16.3,0.09,0.53,0.38,0.85,0.92,0.92,127.0,True
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_Kit_Jet_Black_M60,5,3.5,0.35,0.38,0.22,0.16,0.15,0.22,161.6,False
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_MediumDark_Brown_M40,7,4.0,0.34,0.41,0.47,0.42,0.21,0.47,152.0,False
Just_For_Men_ShampooIn_Haircolor_Jet_Black_60,6,4.8,0.33,0.41,0.13,0.18,0.22,0.22,175.8,False
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,6,4.1,0.31,0.43,0.05,0.13,0.18,0.18,171.2,False
Just_For_Men_Shampoo_In_Haircolor_Darkest_Brown_50,8,5.3,0.33,0.32,0.07,0.09,0.25,0.25,165.3,False
Justified_The_Complete_Fourth_Season_3_Discs_DVD,2,2.0,0.5,0.13,0.04,0.04,0.05,0.05,236.2,False
KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces,9,7.6,0.17,0.92,0.24,0.34,0.44,0.44,216.7,True
Kid_Icarus_Uprising_Nintendo_3DS_Game,5,2.5,0.44,0.21,0.09,0.08,0.16,0.16,165.1,False
Kotex_U_Barely_There_Liners_Thin_60_count,8,6.1,0.23,0.72,0.14,0.34,0.49,0.49,145.5,True
Kotex_U_Tween_Pads_16_pads,6,5.2,0.23,0.57,0.25,0.11,0.26,0.26,171.1,False
Kotobuki_Saucer_Dragon_Fly,2,2.0,0.55,0.28,0.38,0.36,0.05,0.38,104.6,False
Krill_Oil,13,8.7,0.2,0.56,0.31,0.76,0.74,0.76,105.8,True
LEGO_Bricks_More_Creative_Suitcase,6,4.1,0.32,0.4,0.06,0.08,0.07,0.08,396.5,False
LEGO_City_Advent_Calendar,6,2.8,0.42,0.27,0.14,0.06,0.17,0.17,445.5,False
LEGO_Creationary_Game_ZJa163wlWp2,7,2.8,0.42,0.19,0.11,0.05,0.11,0.11,467.2,False
LEGO_Fusion_Set_Town_Master,5,2.7,0.42,0.23,0.17,0.09,0.14,0.17,379.0,False
LEGO_Star_Wars_Advent_Calendar,6,3.5,0.43,0.22,0.12,0.14,0.19,0.19,451.1,False
LTyrosine,13,10.4,0.13,0.57,0.31,0.79,0.96,0.96,119.0,True
Lactoferrin,18,14.0,0.11,0.59,0.38,0.79,0.69,0.79,107.1,True
Leap_Frog_Paint_Dabber_Dot_Art_5_paint_bottles,6,2.7,0.43,0.18,0.06,0.08,0.05,0.08,317.3,False
Lego_Friends_Advent_Calendar,5,3.3,0.45,0.29,0.06,0.1,0.14,0.14,438.9,False
Little_Big_Planet_3_Plush_Edition,7,4.8,0.29,0.52,0.07,0.09,0.08,0.09,187.6,False
Little_Debbie_Chocolate_Cupcakes_8_ct,5,2.9,0.42,0.22,0.06,0.1,0.06,0.1,319.9,False
Little_Debbie_Cloud_Cakes_10_ct,7,5.1,0.32,0.36,0.08,0.14,0.14,0.14,270.0,False
Little_Debbie_Donut_Sticks_6_cake_donuts_10_oz_total,4,2.7,0.42,0.16,0.06,0.47,0.14,0.47,329.4,False
Little_House_on_the_Prairie_Season_Two_5_Discs_Includes_Digital,3,2.1,0.5,0.15,0.05,0.05,0.05,0.05,217.0,False
Logitech_Ultimate_Ears_Boom_Wireless_Speaker_Night_Black,23,19.3,0.1,0.44,0.32,0.8,0.79,0.8,270.3,True
Luigis_Mansion_Dark_Moon_Nintendo_3DS_Game,2,2.0,0.5,0.09,0.01,0.02,0.04,0.04,167.4,False
Lutein,15,12.3,0.13,0.57,0.33,0.98,0.87,0.98,105.2,True
MK7,20,17.9,0.09,0.58,0.23,0.68,0.77,0.77,93.2,True
Mad_Gab_Refresh_Card_Game,6,6.0,0.17,0.92,0.17,0.16,0.18,0.18,250.5,True
Marc_Anthony_Skip_Professional_Oil_of_Morocco_Conditioner_with_Argan_Oil,3,2.2,0.49,0.28,0.01,0.97,0.19,0.97,202.1,False
Marc_Anthony_Strictly_Curls_Curl_Envy_Perfect_Curl_Cream_6_fl_oz_bottle,7,4.3,0.3,0.33,0.34,0.71,0.11,0.71,235.1,False
Marc_Anthony_True_Professional_Oil_of_Morocco_Argan_Oil_Treatment,7,5.0,0.3,0.31,0.04,0.17,0.26,0.26,169.1,False
Marc_Anthony_True_Professional_Strictly_Curls_Curl_Defining_Lotion,5,2.9,0.49,0.27,0.49,0.74,0.26,0.74,205.3,False
Mario_Luigi_Dream_Team_Nintendo_3DS_Game,2,2.0,0.5,0.11,0.03,0.03,0.02,0.03,151.9,False
Mario_Party_9_Wii_Game,2,2.0,0.52,0.09,0.02,0.01,0.03,0.03,201.4,False
Markings_Desk_Caddy,7,5.5,0.26,0.42,0.57,0.67,0.54,0.67,316.8,False
Markings_Letter_Holder,6,4.8,0.28,0.57,0.37,0.57,0.32,0.57,219.7,False
Mastic_Gum,12,7.3,0.25,0.56,0.76,0.72,0.75,0.76,104.8,False
Mattel_SKIP_BO_Card_Game,4,2.4,0.46,0.16,0.02,0.06,0.07,0.07,216.8,False
Melissa_Doug_See_Spell,4,2.2,0.48,0.18,0.07,0.05,0.09,0.09,375.8,False
Melissa_Doug_Traffic_Signs_and_Vehicles,5,2.6,0.44,0.18,0.08,0.05,0.15,0.15,374.3,False
Mist_Wipe_Warmer,7,4.6,0.3,0.49,0.09,0.1,0.2,0.2,301.8,False
My_First_Rolling_Lion,4,2.7,0.43,0.29,0.12,0.09,0.1,0.12,187.2,False
My_First_Wiggle_Crocodile,8,7.0,0.2,0.32,0.32,0.3,0.62,0.62,204.1,False
My_Little_Pony_Princess_Celestia,8,5.1,0.34,0.85,0.45,0.44,0.45,0.45,236.9,True
My_Monopoly_Board_Game,4,2.2,0.47,0.21,0.05,0.06,0.1,0.1,420.8,False
NESCAFE_NESCAFE_TC_STKS_DECAF_6_CT,5,2.7,0.44,0.28,0.06,0.1,0.13,0.13,138.2,False
NattoMax,15,11.6,0.13,0.61,0.41,0.75,0.81,0.81,97.6,True
Neat_Solutions_Character_Bib_2_pack,2,1.9,0.63,0.33,0.21,0.23,0.05,0.23,229.4,False
Nescafe_16Count_Dolce_Gusto_Cappuccino_Capsules,7,6.5,0.17,0.82,0.15,0.16,0.12,0.16,183.2,True
Nescafe_Memento_Latte_Caramel_8_08_oz_23_g_packets_64_oz_184_g,8,4.6,0.29,0.52,0.07,0.13,0.37,0.37,171.2,False
Nescafe_Momento_Mocha_Specialty_Coffee_Mix_8_ct,9,6.1,0.28,0.56,0.2,0.18,0.2,0.2,182.5,False
Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,9,6.4,0.26,0.46,0.46,0.76,0.65,0.76,194.5,False
Nestl_Crunch_Girl_Scouts_Cookie_Flavors_Caramel_Coconut_78_oz_box,7,3.8,0.35,0.38,0.15,0.07,0.06,0.15,163.7,False
Nestl_Skinny_Cow_Heavenly_Crisp_Candy_Bar_Chocolate_Raspberry_6_pack_462_oz_total,6,3.7,0.35,0.34,0.05,0.08,0.07,0.08,177.4,False
Nestle_Carnation_Cinnamon_Coffeecake_Kit_1913OZ,6,3.9,0.34,0.4,0.06,0.07,0.07,0.07,199.4,False
Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister,7,3.3,0.38,0.61,0.5,0.37,0.31,0.5,154.4,False
Nestle_Nips_Hard_Candy_Peanut_Butter,7,3.4,0.38,0.38,0.04,0.12,0.22,0.22,161.3,False
Nestle_Pure_Life_Exotics_Sparkling_Water_Strawberry_Dragon_Fruit_8_count_12_fl_oz_can,7,5.0,0.23,0.72,0.08,0.17,0.19,0.19,289.9,True
Nestle_Pure_Life_Exotics_Sparkling_Water_Strawberry_Dragon_Fruit_8_count_12_fl_oz_can_aX0ygjh3bxi,6,4.9,0.23,0.72,0.08,0.15,0.17,0.17,287.2,True
Nestle_Raisinets_Milk_Chocolate_35_oz_992_g,5,3.1,0.47,0.17,0.28,0.26,0.3,0.3,171.2,False
Nestle_Skinny_Cow_Dreamy_Clusters_Candy_Dark_Chocolate_6_pack_1_oz_pouches,7,3.8,0.35,0.4,0.07,0.06,0.12,0.12,164.6,False
Netgear_Ac1750_Router_Wireless_Dual_Band_Gigabit_Router,6,3.1,0.39,0.25,0.04,0.08,0.06,0.08,350.8,False
Netgear_N750_Wireless_Dual_Band_Gigabit_Router,8,3.1,0.39,0.22,0.06,0.07,0.09,0.09,359.7,False
Netgear_Nighthawk_X6_AC3200_TriBand_Gigabit_Wireless_Router,7,3.2,0.39,0.27,0.04,0.07,0.13,0.13,372.9,False
New_Super_Mario_BrosWii_Wii_Game,2,2.0,0.5,0.09,0.02,0.0,0.02,0.02,234.4,False
Nightmare_Before_Christmas_Collectors_Edition_Operation,5,2.5,0.45,0.15,0.05,0.49,0.09,0.49,488.8,False
Nikon_1_AW1_w11275mm_Lens_Silver,13,10.1,0.21,0.79,0.51,0.85,0.66,0.85,79.8,True
Nintendo_Mario_Action_Figure,5,4.0,0.38,0.44,0.29,0.54,0.22,0.54,108.7,False
Nintendo_Wii_Party_U_with_Controller_Wii_U_Game,7,3.8,0.35,0.48,0.17,0.13,0.11,0.17,210.6,False
Nintendo_Yoshi_Action_Figure,6,4.1,0.33,0.57,0.58,0.71,0.25,0.71,118.8,False
Nips_Hard_Candy_Rich_Creamy_Butter_Rum_4_oz_1133_g,6,4.4,0.37,0.3,0.08,0.14,0.3,0.3,174.6,False
Nordic_Ware_Original_Bundt_Pan,2,1.8,0.64,0.42,0.25,0.22,0.25,0.25,274.8,False
Now_Designs_Bowl_Akita_Black,10,2.8,0.57,0.5,0.56,0.58,0.2,0.58,166.9,False
OXO_Cookie_Spatula,2,2.0,0.57,0.12,0.46,1.0,0.09,1.0,251.6,False
OXO_Soft_Works_Can_Opener_SnapLock,6,3.7,0.34,0.33,0.55,0.67,0.49,0.67,182.7,False
Object,3,2.4,0.46,0.4,0.05,0.02,0.08,0.08,125.0,False
Office_Depot_Canon_CL211XL_Remanufactured_Ink_Cartridge_TriColor,6,4.4,0.31,0.45,0.15,0.13,0.21,0.21,146.5,False
Office_Depot_Canon_CLI36_Remanufactured_Ink_Cartridge_TriColor,6,3.6,0.37,0.37,0.24,0.13,0.3,0.3,160.3,False
Office_Depot_Canon_CLI_221BK_Ink_Cartridge_Black_2946B001,7,4.5,0.31,0.52,0.09,0.2,0.26,0.26,139.3,False
Office_Depot_Canon_CLI_8CMY_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,6,5.7,0.2,0.94,0.08,0.28,0.23,0.28,118.0,True
Office_Depot_Canon_CLI_8Y_Ink_Cartridge_Yellow_0623B002,9,6.0,0.31,0.5,0.12,0.09,0.22,0.22,125.9,False
Office_Depot_Canon_CL_41_Remanufactured_Ink_Cartridge_TriColor,7,4.4,0.31,0.58,0.39,0.45,0.24,0.45,131.1,False
Office_Depot_Canon_PG21XL_Remanufactured_Ink_Cartridge_Black,8,4.6,0.31,0.62,0.15,0.34,0.36,0.36,133.5,False
Office_Depot_Canon_PGI22_Remanufactured_Ink_Cartridge_Black,6,4.3,0.31,0.39,0.12,0.14,0.09,0.14,148.8,False
Office_Depot_Canon_PGI35_Remanufactured_Ink_Cartridge_Black,6,4.4,0.31,0.71,0.22,0.08,0.3,0.3,122.9,True
Office_Depot_Canon_PGI5BK_Remanufactured_Ink_Cartridge_Black,8,4.6,0.31,0.49,0.23,0.2,0.22,0.23,143.3,False
Office_Depot_Canon_PG_240XL_Ink_Cartridge_Black_5206B001,6,4.4,0.31,0.4,0.09,0.11,0.14,0.14,136.6,False
Office_Depot_Dell_Series_11_Remanufactured_Ink_Cartridge_Black,8,4.6,0.31,0.56,0.18,0.16,0.2,0.2,142.6,False
Office_Depot_Dell_Series_11_Remanufactured_Ink_Cartridge_TriColor,6,3.7,0.35,0.35,0.36,0.15,0.23,0.36,157.9,False
Office_Depot_Dell_Series_1_Remanufactured_Ink_Cartridge_Black,8,6.0,0.29,0.44,0.35,0.31,0.21,0.35,139.3,False
Office_Depot_Dell_Series_1_Remanufactured_Ink_Cartridge_TriColor,9,4.7,0.31,0.45,0.23,0.15,0.24,0.24,129.1,False
Office_Depot_Dell_Series_5_Remanufactured_Ink_Cartridge_Black,9,6.1,0.31,0.61,0.24,0.33,0.37,0.37,143.8,False
Office_Depot_Dell_Series_9_Color_Ink_Ink_Cartridge_MK991_MK993,6,4.4,0.31,0.59,0.13,0.33,0.42,0.42,145.6,False
Office_Depot_Dell_Series_9_Ink_Cartridge_Black_MK992,8,4.3,0.32,0.44,0.11,0.17,0.13,0.17,135.8,False
Office_Depot_HP_2_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,6,3.8,0.35,0.38,0.12,0.16,0.15,0.16,161.4,False
Office_Depot_HP_564XL_Ink_Cartridge_Black_CN684WN,7,4.4,0.31,0.63,0.25,0.16,0.16,0.25,136.5,False
Office_Depot_HP_564XL_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,6,5.3,0.23,0.61,0.15,0.12,0.12,0.15,156.4,False
Office_Depot_HP_61Tricolor_Ink_Cartridge,8,4.5,0.31,0.64,0.38,0.15,0.34,0.38,136.9,False
Office_Depot_HP_71_Remanufactured_Ink_Cartridge_Black,8,4.7,0.31,0.56,0.18,0.14,0.35,0.35,124.7,False
Office_Depot_HP_74XL75_Remanufactured_Ink_Cartridges_BlackTriColor_2_count,6,5.7,0.2,0.68,0.1,0.29,0.09,0.29,130.4,False
Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor,8,5.2,0.31,0.44,0.31,0.38,0.52,0.52,164.0,False
Office_Depot_HP_920XL_920_High_Yield_Black_and_Standard_CMY_Color_Ink_Cartridges,6,5.7,0.2,0.96,0.09,0.14,0.15,0.15,120.4,True
Office_Depot_HP_932XL_Ink_Cartridge_Black_CN053A,7,4.4,0.31,0.49,0.2,0.09,0.28,0.28,128.5,False
Office_Depot_HP_950XL_Ink_Cartridge_Black_CN045AN,7,4.5,0.31,0.62,0.09,0.14,0.29,0.29,130.3,False
Office_Depot_HP_96_Remanufactured_Ink_Cartridge_Black,7,5.1,0.33,0.43,0.15,0.1,0.09,0.15,163.5,False
Office_Depot_HP_98_Remanufactured_Ink_Cartridge_Black,5,3.7,0.35,0.35,0.18,0.1,0.09,0.18,164.7,False
Orbit_Bubblemint_Mini_Bottle_6_ct,6,4.0,0.33,0.46,0.42,0.14,0.16,0.42,226.5,False
Organic_Whey_Protein_Unflavored,17,13.1,0.16,0.68,0.56,0.77,0.82,0.82,180.6,True
Organic_Whey_Protein_Vanilla,11,8.4,0.21,0.7,0.56,0.79,0.8,0.8,180.8,True
Ortho_Forward_Facing_CkAW6rL25xH,15,9.8,0.2,0.8,0.8,0.76,0.8,0.8,314.0,True
PEEKABOO_ROLLER,9,5.4,0.27,0.69,0.35,0.65,0.22,0.65,72.9,False
PEPSI_NEXT_CACRV,5,4.2,0.26,0.44,0.04,0.17,0.13,0.17,426.6,False
PINEAPPLE_MARACA_6_PCSSET,8,6.9,0.18,0.53,0.93,1.0,0.65,1.0,108.3,False
Paint_Maker,6,5.1,0.27,0.61,0.08,0.08,0.08,0.08,249.4,False
Paper_Mario_Sticker_Star_Nintendo_3DS_Game,2,2.0,0.5,0.1,0.03,0.03,0.03,0.03,156.3,False
Pass_The_Popcorn_Movie_Guessing_Game,6,3.1,0.4,0.22,0.04,0.07,0.04,0.07,291.8,False
Pennington_Electric_Pot_Cabana_4,11,4.7,0.42,0.95,0.33,0.89,0.75,0.89,105.5,True
Pepsi_Caffeine_Free_Diet_12_CT,6,4.4,0.25,0.47,0.04,0.13,0.15,0.15,423.3,False
Pepsi_Cola_Caffeine_Free_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,6,4.4,0.24,0.39,0.04,0.12,0.19,0.19,423.1,False
Pepsi_Cola_Wild_Cherry_Diet_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,7,4.9,0.25,0.41,0.04,0.11,0.1,0.11,424.4,False
Pepsi_Max_Cola_Zero_Calorie_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,5,4.2,0.26,0.47,0.3,0.45,0.14,0.45,428.3,False
Perricoen_MD_No_Concealer_Concealer,6,4.6,0.26,0.54,0.06,0.13,0.33,0.33,119.6,False
Perricone_MD_AcylGlutathione_Deep_Crease_Serum,9,5.5,0.26,0.7,0.15,0.2,0.15,0.2,111.5,False
Perricone_MD_AcylGlutathione_Eye_Lid_Serum,8,6.6,0.26,0.72,0.2,0.36,0.46,0.46,120.3,True
Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL,7,4.8,0.33,0.29,0.03,0.11,0.1,0.11,312.0,False
Perricone_MD_Blue_Plasma_Orbital,6,4.9,0.28,0.45,0.13,0.13,0.19,0.19,127.9,False
Perricone_MD_Chia_Serum,6,4.4,0.29,0.44,0.05,0.1,0.15,0.15,128.5,False
Perricone_MD_Cold_Plasma,7,5.2,0.27,0.6,0.09,0.1,0.19,0.19,116.8,False
Perricone_MD_Cold_Plasma_Body,8,5.4,0.27,0.49,0.34,0.4,0.19,0.4,169.3,False
Perricone_MD_Face_Finishing_Moisturizer,6,5.9,0.19,0.87,0.29,0.16,0.15,0.29,89.6,True
Perricone_MD_Face_Finishing_Moisturizer_4_oz,7,5.5,0.25,0.55,0.12,0.12,0.21,0.21,96.9,False
Perricone_MD_Firming_Neck_Therapy_Treatment,7,6.5,0.19,0.73,0.29,0.26,0.18,0.29,87.9,True
Perricone_MD_Health_Weight_Management_Supplements,7,6.0,0.23,0.65,0.13,0.14,0.11,0.14,235.8,False
Perricone_MD_High_Potency_Evening_Repair,7,4.6,0.3,0.4,0.41,0.44,0.16,0.44,129.4,False
Perricone_MD_Hypoallergenic_Firming_Eye_Cream_05_oz,7,6.7,0.2,0.91,0.25,0.09,0.4,0.4,63.5,True
Perricone_MD_Hypoallergenic_Gentle_Cleanser,7,4.7,0.27,0.51,0.07,0.13,0.18,0.18,170.6,False
Perricone_MD_Neuropeptide_Facial_Conformer,6,4.2,0.31,0.41,0.15,0.15,0.3,0.3,134.1,False
Perricone_MD_Neuropeptide_Firming_Moisturizer,6,5.9,0.19,0.97,0.09,0.13,0.14,0.14,79.0,True
Perricone_MD_No_Bronzer_Bronzer,7,4.7,0.27,0.56,0.1,0.17,0.18,0.18,111.9,False
Perricone_MD_No_Foundation_Foundation_No_1,6,4.5,0.3,0.44,0.05,0.1,0.1,0.1,129.8,False
Perricone_MD_No_Foundation_Serum,7,4.6,0.29,0.39,0.13,0.14,0.25,0.25,132.7,False
Perricone_MD_No_Lipstick_Lipstick,6,5.1,0.25,0.63,0.25,0.25,0.3,0.3,93.3,False
Perricone_MD_No_Mascara_Mascara,6,4.3,0.27,0.4,0.31,0.35,0.14,0.35,137.5,False
Perricone_MD_Nutritive_Cleanser,6,4.6,0.28,0.46,0.06,0.14,0.19,0.19,160.1,False
Perricone_MD_OVM,8,6.4,0.27,0.54,0.1,0.22,0.19,0.22,122.4,False
Perricone_MD_Omega_3_Supplements,8,6.1,0.22,0.82,0.2,0.44,0.52,0.52,143.0,True
Perricone_MD_Photo_Plasma,6,5.0,0.28,0.57,0.1,0.09,0.2,0.2,120.4,False
Perricone_MD_Skin_Clear_Supplements,6,5.1,0.26,0.52,0.09,0.1,0.08,0.1,190.4,False
Perricone_MD_Skin_Total_Body_Supplements,6,5.7,0.19,0.9,0.11,0.15,0.16,0.16,211.0,True
Perricone_MD_Super_Berry_Powder_with_Acai_Supplements,7,6.0,0.21,0.63,0.09,0.09,0.19,0.19,166.1,False
Perricone_MD_The_Cold_Plasma_Face_Eyes_Duo,7,4.8,0.29,0.52,0.11,0.12,0.09,0.12,164.8,False
Perricone_MD_The_Crease_Cure_Duo,6,4.1,0.32,0.42,0.36,0.08,0.08,0.36,176.6,False
Perricone_MD_The_Metabolic_Formula_Supplements,7,5.8,0.22,0.75,0.09,0.13,0.14,0.14,188.9,True
Perricone_MD_The_Power_Treatments,5,2.9,0.41,0.25,0.05,0.47,0.17,0.47,210.1,False
Perricone_MD_Vitamin_C_Ester_15,8,5.2,0.25,0.67,0.08,0.18,0.35,0.35,144.5,False
Perricone_MD_Vitamin_C_Ester_Serum,6,5.0,0.26,0.62,0.08,0.09,0.11,0.11,111.4,False
Persona_Q_Shadow_of_the_Labyrinth_Nintendo_3DS,6,2.5,0.45,0.18,0.04,0.04,0.06,0.06,140.9,False
Pet_Dophilus_powder,11,8.6,0.2,0.53,0.68,0.75,0.79,0.79,113.9,True
Philips_60ct_Warm_White_LED_Smooth_Mini_String_Lights,7,4.0,0.33,0.36,0.28,0.1,0.17,0.28,278.3,False
Philips_EcoVantage_43_W_Light_Bulbs_Natural_Light_2_pack,6,5.1,0.26,0.5,0.13,0.21,0.09,0.21,151.0,False
Philips_Sonicare_Tooth_Brush_2_count,6,4.4,0.31,0.45,0.06,0.08,0.08,0.08,248.7,False
Phillips_Caplets_Size_24,7,4.8,0.29,0.52,0.07,0.08,0.08,0.08,86.0,False
Phillips_Colon_Health_Probiotic_Capsule,8,4.8,0.3,0.4,0.12,0.12,0.16,0.16,150.9,False
Phillips_Milk_of_Magnesia_Saline_Laxative_Liquid_Original,10,7.0,0.2,0.36,0.32,0.45,0.48,0.48,181.7,False
Phillips_Stool_Softener_Liquid_Gels_30_liquid_gels,6,4.6,0.3,0.52,0.09,0.1,0.18,0.18,101.7,False
PhosphOmega,12,9.9,0.18,0.55,0.63,0.81,0.73,0.81,121.3,True
Pokmon_Conquest_Nintendo_DS_Game,2,2.0,0.5,0.11,0.03,0.05,0.03,0.05,163.3,False
Pokmon_X_Nintendo_3DS_Game,2,2.0,0.5,0.08,0.01,0.0,0.02,0.02,174.1,False
Pokmon_Y_Nintendo_3DS_Game,2,2.0,0.5,0.11,0.0,0.01,0.02,0.02,140.7,False
Pokémon_Omega_Ruby_Alpha_Sapphire_Dual_Pack_Nintendo_3DS,6,2.8,0.42,0.22,0.03,0.44,0.13,0.44,142.1,False
Polar_Herring_Fillets_Smoked_Peppered_705_oz_total,4,2.9,0.4,0.24,0.03,0.07,0.26,0.26,159.7,False
Prostate_Optimizer,17,12.1,0.15,0.56,0.27,0.75,0.76,0.76,116.7,True
QAbsorb_CoQ10,16,13.7,0.11,0.57,0.33,0.86,0.83,0.86,108.0,True
QAbsorb_CoQ10_53iUqjWjW3O,15,12.1,0.15,0.58,0.22,0.65,0.61,0.65,109.8,True
QHPomegranate,15,12.7,0.14,0.57,0.4,0.86,0.84,0.86,104.4,True
Quercetin_500,14,12.6,0.12,0.57,0.52,0.84,0.92,0.92,155.7,True
Razer_Kraken_71_Chroma_headset_Full_size_Black,6,4.4,0.32,0.42,0.13,0.13,0.12,0.13,320.5,False
Razer_Kraken_Pro_headset_Full_size_Black,9,5.1,0.33,0.41,0.59,0.44,0.42,0.59,309.6,False
Razer_Naga_MMO_Gaming_Mouse,5,3.4,0.41,0.2,0.33,1.0,0.34,1.0,259.6,False
Razer_Taipan_Black_Ambidextrous_Gaming_Mouse,2,2.0,0.56,0.22,0.58,0.05,0.05,0.58,186.2,False
Razer_Taipan_White_Ambidextrous_Gaming_Mouse,2,2.0,0.57,0.21,0.3,0.09,0.13,0.3,192.0,False
ReadytoUse_Rolled_Fondant_Pure_White_24_oz_box,7,4.5,0.36,0.38,0.19,0.14,0.1,0.19,205.1,False
RedBlack_Nintendo_3DSXL,5,3.2,0.43,0.29,0.29,0.29,0.06,0.29,200.9,False
Remington_1_12_inch_Hair_Straightener,6,3.6,0.44,0.16,0.34,0.97,0.37,0.97,377.4,False
Remington_TStudio_Hair_Dryer,2,2.0,0.51,0.27,0.51,0.52,0.08,0.52,331.7,False
Remington_TStudio_Silk_Ceramic_Hair_Straightener_2_Inch_Floating_Plates,3,2.9,0.43,0.21,0.31,0.73,0.31,0.73,340.0,False
Room_Essentials_Bowl_Turquiose,6,2.4,0.58,0.64,0.52,0.65,0.25,0.65,162.8,False
Room_Essentials_Dish_Drainer_Collapsible_White,2,2.0,0.58,0.2,0.0,0.01,0.03,0.03,384.0,False
Room_Essentials_Fabric_Cube_Lavender,6,6.0,0.17,0.87,0.15,0.18,0.16,0.18,401.1,True
Room_Essentials_Mug_White_Yellow,5,3.4,0.36,0.69,0.5,0.7,0.29,0.7,127.3,False
Room_Essentials_Salad_Plate_Turquoise,2,2.0,0.53,0.15,0.0,0.0,0.03,0.03,234.3,False
SAMe_200,5,3.6,0.35,0.4,0.07,0.18,0.37,0.37,176.4,False
SAMe_200_KX7ZmOw47co,6,4.3,0.31,0.45,0.13,0.13,0.29,0.29,146.7,False
SAPPHIRE_R7_260X_OC,7,3.2,0.39,0.28,0.11,0.14,0.12,0.14,317.9,False
SCHOOL_BUS,5,4.7,0.25,0.45,0.64,0.45,0.49,0.64,106.4,False
Saccharomyces_Boulardii_MOS_Value_Size,15,12.7,0.14,0.54,0.88,0.9,0.95,0.95,145.7,True
Samsung_CLTC406S_Toner_Cartridge_Cyan_1pack,7,3.6,0.36,0.26,0.04,0.09,0.08,0.09,421.5,False
